miRNA, /usr/local/miRge/miRge.samples/human_s1.fastq, /usr/local/miRge/miRge.samples/human_s2.fastq
hsa-miR-1227-3p, 0, 0
hsa-miR-1227-5p, 0, 0
hsa-miR-1228-3p, 0, 0
hsa-miR-1228-5p, 0, 0
hsa-miR-1229-3p, 0, 0
hsa-miR-1229-5p, 0, 0
hsa-miR-1231, 0, 0
hsa-miR-1233-3p, 0, 0
hsa-miR-1233-5p, 0, 0
hsa-miR-1234-3p, 0, 0
hsa-miR-1236-3p, 0, 0
hsa-miR-1236-5p, 0, 0
hsa-miR-1237-3p, 0, 0
hsa-miR-1237-5p, 0, 0
hsa-miR-1238-3p, 0, 0
hsa-miR-1238-5p, 0, 0
hsa-miR-124-3p, 0, 0
hsa-miR-124-5p, 0, 0
hsa-miR-1243, 0, 0
hsa-miR-1244, 0, 0
hsa-miR-1245a, 0, 0
hsa-miR-1245b-3p, 0, 0
hsa-miR-1245b-5p, 0, 0
hsa-miR-1246, 0, 0
hsa-miR-1247-3p, 0, 0
hsa-miR-1247-5p, 0, 0
hsa-miR-1248, 6, 0
hsa-miR-1249-3p, 0, 0
hsa-miR-1249-5p, 0, 0
hsa-miR-1250-3p, 0, 0
hsa-miR-1250-5p, 0, 0
hsa-miR-1251-3p, 0, 0
hsa-miR-1251-5p, 0, 0
hsa-miR-1252-3p, 0, 0
hsa-miR-1252-5p, 0, 0
hsa-miR-1253, 0, 0
hsa-miR-1254, 0, 4
hsa-miR-1255a, 0, 6
hsa-miR-1255b-5p, 0, 0
hsa-miR-1256, 0, 0
hsa-miR-1257, 0, 0
hsa-miR-1258, 0, 0
hsa-miR-125a-3p, 0, 20
hsa-miR-125a-5p, 7, 1684
hsa-miR-125b-1-3p, 0, 682
hsa-miR-125b-2-3p, 0, 93
hsa-miR-125b-5p, 0, 2510
hsa-miR-126-3p, 7, 4
hsa-miR-126-5p, 14, 41
hsa-miR-1260a, 0, 0
hsa-miR-1260b, 0, 79
hsa-miR-1261, 0, 0
hsa-miR-1262, 0, 0
hsa-miR-1263, 0, 0
hsa-miR-1264, 0, 0
hsa-miR-1265, 0, 0
hsa-miR-1266-3p, 0, 0
hsa-miR-1266-5p, 0, 0
hsa-miR-1267, 0, 0
hsa-miR-1268a, 0, 0
hsa-miR-1268b, 0, 14
hsa-miR-1269a, 0, 0
hsa-miR-1269b, 0, 0
hsa-miR-127-3p, 5, 6994
hsa-miR-127-5p, 0, 21
hsa-miR-1270, 0, 0
hsa-miR-1271-3p, 0, 0
hsa-miR-1271-5p, 0, 4
hsa-miR-1272, 0, 0
hsa-miR-1273a, 0, 0
hsa-miR-1273c, 0, 0
hsa-miR-1273d, 0, 0
hsa-miR-1273e, 0, 0
hsa-miR-1273f, 2, 0
hsa-miR-1273g-3p, 4, 0
hsa-miR-1273g-5p, 0, 0
hsa-miR-1273h-3p, 0, 0
hsa-miR-1273h-5p, 0, 0
hsa-miR-1275, 11, 15
hsa-miR-1276, 0, 0
hsa-miR-1277-3p, 0, 0
hsa-miR-1277-5p, 0, 0
hsa-miR-1278, 0, 0
hsa-miR-1279, 0, 0
hsa-miR-128-1-5p, 0, 11
hsa-miR-128-2-5p, 0, 0
hsa-miR-128-3p, 22, 103
hsa-miR-1281, 0, 0
hsa-miR-1282, 0, 0
hsa-miR-1283, 0, 0
hsa-miR-1284, 0, 0
hsa-miR-1285-3p, 0, 17
hsa-miR-1286, 0, 0
hsa-miR-1287-3p, 0, 0
hsa-miR-1287-5p, 0, 0
hsa-miR-1288-3p, 0, 0
hsa-miR-1288-5p, 0, 0
hsa-miR-1289, 0, 0
hsa-miR-129-1-3p, 0, 0
hsa-miR-129-2-3p, 0, 0
hsa-miR-129-5p, 0, 7
hsa-miR-1290, 0, 0
hsa-miR-1291, 0, 0
hsa-miR-1292-3p, 0, 0
hsa-miR-1292-5p, 0, 0
hsa-miR-1293, 0, 0
hsa-miR-1294, 0, 0
hsa-miR-1295a, 0, 0
hsa-miR-1295b-3p, 0, 0
hsa-miR-1296-3p, 0, 0
hsa-miR-1296-5p, 3, 32
hsa-miR-1297, 0, 0
hsa-miR-1298-3p, 0, 0
hsa-miR-1298-5p, 0, 0
hsa-miR-1299, 0, 0
hsa-miR-1301-3p, 0, 0
hsa-miR-1301-5p, 0, 0
hsa-miR-1302, 0, 0
hsa-miR-1303, 0, 0
hsa-miR-1304-3p, 0, 0
hsa-miR-1304-5p, 0, 0
hsa-miR-1305, 0, 10
hsa-miR-1306-3p, 0, 0
hsa-miR-1306-5p, 0, 0
hsa-miR-1307-3p, 16, 50
hsa-miR-1307-5p, 54, 95
hsa-miR-130a-3p, 0, 243
hsa-miR-130a-5p, 0, 0
hsa-miR-130b-3p, 29, 114
hsa-miR-130b-5p, 2, 229
hsa-miR-132-3p, 0, 63
hsa-miR-132-5p, 0, 12
hsa-miR-1321, 0, 0
hsa-miR-1322, 0, 0
hsa-miR-1323, 0, 0
hsa-miR-1324, 0, 0
hsa-miR-133a-3p, 0, 0
hsa-miR-133a-5p, 0, 0
hsa-miR-133b, 0, 0
hsa-miR-134-3p, 0, 0
hsa-miR-134-5p, 0, 51
hsa-miR-1343-3p, 0, 0
hsa-miR-1343-5p, 0, 0
hsa-miR-135a-3p, 0, 0
hsa-miR-135a-5p, 0, 0
hsa-miR-135b-3p, 0, 0
hsa-miR-135b-5p, 0, 0
hsa-miR-136-3p, 0, 254
hsa-miR-136-5p, 0, 36
hsa-miR-137, 0, 17
hsa-miR-138-1-3p, 0, 101
hsa-miR-138-2-3p, 0, 0
hsa-miR-138-5p, 0, 250
hsa-miR-139-3p, 0, 0
hsa-miR-139-5p, 0, 0
hsa-miR-140-3p, 27, 303
hsa-miR-140-5p, 0, 13
hsa-miR-141-3p, 2108, 3
hsa-miR-141-5p, 20, 0
hsa-miR-142-3p, 2, 0
hsa-miR-142-5p, 22, 2
hsa-miR-143-3p, 275, 22401
hsa-miR-143-5p, 0, 11
hsa-miR-144-3p, 0, 0
hsa-miR-144-5p, 0, 0
hsa-miR-145-3p, 0, 58
hsa-miR-145-5p, 0, 60
hsa-miR-1468-3p, 0, 0
hsa-miR-1468-5p, 6, 7
hsa-miR-1469, 0, 0
hsa-miR-146a-3p, 0, 0
hsa-miR-146a-5p, 44, 725
hsa-miR-146b-3p, 0, 0
hsa-miR-146b-5p, 44, 143
hsa-miR-1470, 0, 0
hsa-miR-1471, 0, 0
hsa-miR-147a, 0, 0
hsa-miR-147b, 26, 8
hsa-miR-148a-3p, 3323, 2752
hsa-miR-148a-5p, 22, 35
hsa-miR-148b-3p, 66, 427
hsa-miR-148b-5p, 5, 26
hsa-miR-149-3p, 0, 0
hsa-miR-149-5p, 0, 25
hsa-miR-150-3p, 0, 0
hsa-miR-150-5p, 4, 0
hsa-miR-151a-3p, 443, 2452
hsa-miR-151b/151a-5p, 201, 1177
hsa-miR-152-3p, 0, 361
hsa-miR-152-5p, 0, 25
hsa-miR-153-3p, 4, 4
hsa-miR-153-5p, 0, 0
hsa-miR-1537-3p, 0, 0
hsa-miR-1537-5p, 0, 0
hsa-miR-1538, 0, 0
hsa-miR-1539, 0, 0
hsa-miR-154-3p, 0, 3
hsa-miR-154-5p, 0, 5
hsa-miR-155-3p, 0, 0
hsa-miR-155-5p, 5, 285
hsa-miR-1587, 0, 0
hsa-miR-15a-3p, 0, 0
hsa-miR-15a-5p, 46, 68
hsa-miR-15b-3p, 0, 0
hsa-miR-15b-5p, 14, 56
hsa-miR-16-1-3p, 0, 0
hsa-miR-16-2-3p, 2, 27
hsa-miR-16-5p, 860, 2632
hsa-miR-17-3p, 0, 5
hsa-miR-17-5p/106a-5p, 18, 17
hsa-miR-181a-2-3p, 20, 92
hsa-miR-181a-3p, 0, 111
hsa-miR-181a-5p, 964, 7142
hsa-miR-181b-2-3p, 0, 0
hsa-miR-181b-3p, 0, 0
hsa-miR-181b-5p, 70, 1074
hsa-miR-181c-3p, 3, 83
hsa-miR-181c-5p, 24, 170
hsa-miR-181d-3p, 0, 0
hsa-miR-181d-5p, 0, 52
hsa-miR-182-3p, 0, 0
hsa-miR-182-5p, 817, 13
hsa-miR-1825, 0, 0
hsa-miR-1827, 0, 0
hsa-miR-183-3p, 0, 0
hsa-miR-183-5p, 40, 6
hsa-miR-184, 0, 0
hsa-miR-185-3p, 0, 3
hsa-miR-185-5p, 0, 10
hsa-miR-186-3p, 0, 0
hsa-miR-186-5p, 440, 950
hsa-miR-187-3p, 0, 0
hsa-miR-187-5p, 0, 0
hsa-miR-188-3p, 0, 0
hsa-miR-188-5p, 0, 5
hsa-miR-18a-3p, 0, 0
hsa-miR-18a-5p, 0, 0
hsa-miR-18b-3p, 0, 0
hsa-miR-18b-5p, 0, 0
hsa-miR-1908-3p, 0, 0
hsa-miR-1908-5p, 0, 0
hsa-miR-1909-3p, 0, 0
hsa-miR-1909-5p, 0, 0
hsa-miR-190a-3p, 0, 0
hsa-miR-190a-5p, 5, 18
hsa-miR-190b, 0, 0
hsa-miR-191-3p, 0, 45
hsa-miR-191-5p, 2003, 5062
hsa-miR-1910-3p, 0, 0
hsa-miR-1910-5p, 0, 0
hsa-miR-1911-3p, 0, 0
hsa-miR-1911-5p, 0, 0
hsa-miR-1912, 0, 0
hsa-miR-1913, 0, 0
hsa-miR-1914-3p, 0, 0
hsa-miR-1914-5p, 0, 0
hsa-miR-1915-3p, 0, 0
hsa-miR-1915-5p, 0, 0
hsa-miR-192-3p, 4, 0
hsa-miR-193a-3p, 3, 25
hsa-miR-193a-5p, 0, 109
hsa-miR-193b-3p, 3, 87
hsa-miR-193b-5p, 0, 6
hsa-miR-194-3p, 4, 0
hsa-miR-194-5p, 2192, 8
hsa-miR-195-3p, 0, 0
hsa-miR-195-5p, 0, 31
hsa-miR-196a-3p, 0, 9
hsa-miR-196a-5p, 105, 60
hsa-miR-196b-3p, 0, 3
hsa-miR-196b-5p, 100, 153
hsa-miR-197-3p, 27, 77
hsa-miR-197-5p, 0, 0
hsa-miR-1972, 0, 0
hsa-miR-1973, 0, 0
hsa-miR-1976, 0, 0
hsa-miR-198, 0, 0
hsa-miR-199a-3p, 8, 7882
hsa-miR-199a-5p, 0, 760
hsa-miR-199b-3p, 0, 865
hsa-miR-199b-5p, 0, 727
hsa-miR-19a-3p, 20, 9
hsa-miR-19a-5p, 0, 0
hsa-miR-19b-1-5p, 0, 0
hsa-miR-19b-2-5p, 0, 0
hsa-miR-19b-3p, 78, 30
hsa-miR-200a-3p, 326, 0
hsa-miR-200a-5p, 27, 0
hsa-miR-200b-3p, 1834, 0
hsa-miR-200b-5p, 21, 0
hsa-miR-200c-3p, 410, 0
hsa-miR-200c-5p, 0, 0
hsa-miR-202-3p, 0, 0
hsa-miR-202-5p, 0, 0
hsa-miR-203a-3p, 276, 0
hsa-miR-203a-5p, 0, 0
hsa-miR-203a/203b-5p, 0, 0
hsa-miR-203b-3p, 0, 0
hsa-miR-204-3p, 0, 0
hsa-miR-204-5p, 7, 4
hsa-miR-205-3p, 0, 0
hsa-miR-205-5p, 0, 0
hsa-miR-2052, 0, 0
hsa-miR-2053, 0, 0
hsa-miR-2054, 0, 0
hsa-miR-206, 0, 0
hsa-miR-208a-3p, 0, 0
hsa-miR-208a-5p, 0, 0
hsa-miR-208b-3p, 0, 0
hsa-miR-208b-5p, 0, 0
hsa-miR-20a-3p, 0, 3
hsa-miR-20a-5p, 12, 13
hsa-miR-20b-3p, 0, 0
hsa-miR-20b-5p, 0, 0
hsa-miR-21-3p, 106, 1238
hsa-miR-21-5p, 4395, 26108
hsa-miR-210-3p, 31, 83
hsa-miR-210-5p, 0, 2
hsa-miR-211-3p, 0, 0
hsa-miR-211-5p, 0, 0
hsa-miR-2110, 0, 0
hsa-miR-2113, 0, 0
hsa-miR-2114-3p, 0, 0
hsa-miR-2114-5p, 0, 0
hsa-miR-2115-3p, 0, 0
hsa-miR-2115-5p, 0, 0
hsa-miR-2116-3p, 0, 4
hsa-miR-2116-5p, 0, 0
hsa-miR-2117, 0, 0
hsa-miR-212-3p, 0, 2
hsa-miR-212-5p, 0, 0
hsa-miR-214-3p, 0, 112
hsa-miR-214-5p, 0, 53
hsa-miR-215-3p, 10, 0
hsa-miR-215-5p/192-5p, 72707, 230
hsa-miR-216a-3p, 0, 0
hsa-miR-216a-5p, 0, 0
hsa-miR-216b-3p, 0, 0
hsa-miR-216b-5p, 0, 0
hsa-miR-217, 0, 0
hsa-miR-218-1-3p, 0, 0
hsa-miR-218-2-3p, 0, 0
hsa-miR-218-5p, 0, 35
hsa-miR-219a-1-3p, 0, 0
hsa-miR-219a-2-3p, 0, 0
hsa-miR-219a-5p, 0, 0
hsa-miR-219b-3p, 0, 0
hsa-miR-219b-5p, 0, 0
hsa-miR-22-3p, 2842, 39772
hsa-miR-22-5p, 5, 15
hsa-miR-221-3p, 74, 3314
hsa-miR-221-5p, 0, 100
hsa-miR-222-3p, 61, 13265
hsa-miR-222-5p, 2, 45
hsa-miR-223-3p, 0, 0
hsa-miR-223-5p, 0, 0
hsa-miR-224-3p, 0, 5
hsa-miR-224-5p, 4, 115
hsa-miR-2276-3p, 0, 0
hsa-miR-2276-5p, 0, 0
hsa-miR-2277-3p, 0, 0
hsa-miR-2277-5p, 0, 5
hsa-miR-2278, 0, 0
hsa-miR-2355-3p, 0, 0
hsa-miR-2355-5p, 0, 11
hsa-miR-2392, 0, 0
hsa-miR-23a-3p, 37, 582
hsa-miR-23a-5p, 0, 33
hsa-miR-23b-3p, 64, 545
hsa-miR-23b-5p, 0, 0
hsa-miR-23c, 0, 0
hsa-miR-24-1-5p, 0, 0
hsa-miR-24-2-5p, 3, 37
hsa-miR-24-3p, 20, 241
hsa-miR-2467-3p, 0, 0
hsa-miR-2467-5p, 0, 0
hsa-miR-25-3p, 249, 787
hsa-miR-25-5p, 0, 15
hsa-miR-2681-3p, 0, 0
hsa-miR-2681-5p, 0, 0
hsa-miR-2682-3p, 0, 0
hsa-miR-2682-5p, 0, 9
hsa-miR-26a-1-3p, 0, 2
hsa-miR-26a-2-3p, 0, 5
hsa-miR-26a-5p, 4581, 10364
hsa-miR-26b-3p, 0, 10
hsa-miR-26b-5p, 367, 1026
hsa-miR-27a-3p/27b-3p, 1879, 20897
hsa-miR-27a-5p, 4, 40
hsa-miR-27b-5p, 2, 70
hsa-miR-28-3p, 1086, 2084
hsa-miR-28-5p, 94, 193
hsa-miR-2861, 0, 0
hsa-miR-2909, 0, 0
hsa-miR-296-3p, 0, 8
hsa-miR-296-5p, 0, 0
hsa-miR-297, 0, 0
hsa-miR-298, 0, 0
hsa-miR-299-3p, 0, 24
hsa-miR-299-5p, 0, 0
hsa-miR-29a-3p, 116, 1852
hsa-miR-29a-5p, 0, 12
hsa-miR-29b-1-5p, 0, 16
hsa-miR-29b-2-5p, 0, 0
hsa-miR-29b-3p, 0, 55
hsa-miR-29c-3p, 19, 27
hsa-miR-29c-5p, 0, 0
hsa-miR-300, 0, 0
hsa-miR-301a-3p, 14, 60
hsa-miR-301a-5p, 0, 0
hsa-miR-301b-3p, 0, 18
hsa-miR-301b-5p, 0, 0
hsa-miR-302a-3p, 0, 0
hsa-miR-302a-5p, 0, 0
hsa-miR-302b-3p, 0, 0
hsa-miR-302b-5p, 0, 0
hsa-miR-302c-3p, 0, 0
hsa-miR-302c-5p, 0, 0
hsa-miR-302d-3p, 0, 0
hsa-miR-302d-5p, 0, 0
hsa-miR-302e, 0, 0
hsa-miR-302f, 0, 0
hsa-miR-3064-3p, 0, 0
hsa-miR-3064-5p, 0, 0
hsa-miR-30a-3p, 0, 218
hsa-miR-30a-5p, 8, 4820
hsa-miR-30b-3p, 0, 0
hsa-miR-30b-5p/30c-5p, 305, 476
hsa-miR-30c-1-3p, 4, 9
hsa-miR-30c-2-3p, 0, 12
hsa-miR-30d-3p, 3, 13
hsa-miR-30d-5p, 873, 1505
hsa-miR-30e-3p, 56, 126
hsa-miR-30e-5p, 696, 1088
hsa-miR-31-3p, 0, 10
hsa-miR-31-5p, 0, 1052
hsa-miR-3115, 0, 0
hsa-miR-3116, 0, 0
hsa-miR-3117-3p, 0, 15
hsa-miR-3117-5p, 0, 0
hsa-miR-3118, 0, 0
hsa-miR-3119, 0, 0
hsa-miR-3120-3p, 0, 0
hsa-miR-3121-3p, 0, 0
hsa-miR-3121-5p, 0, 0
hsa-miR-3122, 0, 0
hsa-miR-3123, 0, 0
hsa-miR-3124-3p, 0, 0
hsa-miR-3125, 0, 0
hsa-miR-3126-3p, 0, 0
hsa-miR-3126-5p, 0, 0
hsa-miR-3127-3p, 0, 0
hsa-miR-3127-5p, 0, 0
hsa-miR-3128, 0, 0
hsa-miR-3129-3p, 0, 0
hsa-miR-3129-5p, 0, 0
hsa-miR-3130-5p, 0, 0
hsa-miR-3131, 0, 0
hsa-miR-3132, 0, 0
hsa-miR-3133, 0, 0
hsa-miR-3134, 0, 0
hsa-miR-3135a, 0, 0
hsa-miR-3135b, 0, 0
hsa-miR-3136-3p, 0, 0
hsa-miR-3136-5p, 0, 0
hsa-miR-3137, 0, 0
hsa-miR-3138, 0, 0
hsa-miR-3139, 0, 0
hsa-miR-3140-3p, 0, 0
hsa-miR-3140-5p, 0, 0
hsa-miR-3141, 0, 0
hsa-miR-3142, 0, 0
hsa-miR-3143, 0, 0
hsa-miR-3144-3p, 0, 0
hsa-miR-3144-5p, 0, 0
hsa-miR-3145-3p, 0, 0
hsa-miR-3145-5p, 0, 0
hsa-miR-3146, 0, 0
hsa-miR-3147, 0, 0
hsa-miR-3148, 0, 0
hsa-miR-3149, 0, 0
hsa-miR-3150a-3p, 0, 0
hsa-miR-3150b-3p, 0, 0
hsa-miR-3150b-5p, 0, 0
hsa-miR-3151-3p, 0, 0
hsa-miR-3151-5p, 0, 0
hsa-miR-3152-3p, 0, 0
hsa-miR-3152-5p, 0, 14
hsa-miR-3153, 0, 0
hsa-miR-3154, 0, 0
hsa-miR-3155a, 0, 0
hsa-miR-3155b, 0, 0
hsa-miR-3156-3p, 0, 0
hsa-miR-3156-5p, 0, 0
hsa-miR-3157-3p, 0, 0
hsa-miR-3157-5p, 0, 0
hsa-miR-3158-3p, 0, 4
hsa-miR-3159, 0, 0
hsa-miR-3160-3p, 0, 0
hsa-miR-3160-5p, 0, 0
hsa-miR-3161, 0, 0
hsa-miR-3162-3p, 0, 0
hsa-miR-3162-5p, 0, 0
hsa-miR-3163, 0, 0
hsa-miR-3164, 0, 0
hsa-miR-3165, 0, 0
hsa-miR-3166, 0, 0
hsa-miR-3167, 0, 0
hsa-miR-3168, 0, 0
hsa-miR-3169, 0, 0
hsa-miR-3170, 0, 0
hsa-miR-3171, 0, 0
hsa-miR-3173-3p, 0, 0
hsa-miR-3173-5p, 0, 0
hsa-miR-3174, 0, 0
hsa-miR-3175, 0, 0
hsa-miR-3176, 0, 6
hsa-miR-3177-3p, 0, 0
hsa-miR-3177-5p, 0, 0
hsa-miR-3178, 0, 0
hsa-miR-3179, 0, 0
hsa-miR-3180, 0, 0
hsa-miR-3180-3p, 0, 0
hsa-miR-3180-5p, 0, 0
hsa-miR-3181, 0, 0
hsa-miR-3182, 0, 0
hsa-miR-3183, 0, 0
hsa-miR-3185, 0, 0
hsa-miR-3186-3p, 0, 0
hsa-miR-3186-5p, 0, 0
hsa-miR-3187-3p, 0, 0
hsa-miR-3187-5p, 0, 0
hsa-miR-3188, 0, 0
hsa-miR-3189-3p, 0, 0
hsa-miR-3189-5p, 0, 0
hsa-miR-3190-3p, 0, 0
hsa-miR-3190-5p, 0, 0
hsa-miR-3191-3p, 0, 0
hsa-miR-3191-5p, 0, 0
hsa-miR-3192-3p, 0, 0
hsa-miR-3192-5p, 0, 0
hsa-miR-3193, 0, 0
hsa-miR-3194-3p, 0, 0
hsa-miR-3194-5p, 0, 0
hsa-miR-3195, 0, 0
hsa-miR-3196, 19, 0
hsa-miR-3197, 0, 0
hsa-miR-3198, 0, 0
hsa-miR-3199, 0, 0
hsa-miR-32-3p, 0, 0
hsa-miR-32-5p, 2, 8
hsa-miR-3200-3p, 0, 0
hsa-miR-3200-5p, 0, 0
hsa-miR-3201, 0, 0
hsa-miR-3202, 0, 0
hsa-miR-320a/b/c/d, 125, 467
hsa-miR-320e, 0, 0
hsa-miR-323a-3p, 0, 15
hsa-miR-323a-5p, 0, 2
hsa-miR-323b-3p, 0, 0
hsa-miR-323b-5p, 0, 0
hsa-miR-324-3p, 0, 5
hsa-miR-324-5p, 2, 7
hsa-miR-325, 0, 0
hsa-miR-326, 0, 0
hsa-miR-328-3p, 0, 30
hsa-miR-328-5p, 0, 0
hsa-miR-329-3p, 0, 6
hsa-miR-329-5p, 0, 6
hsa-miR-330-3p, 0, 7
hsa-miR-330-5p, 3, 15
hsa-miR-331-3p, 0, 9
hsa-miR-331-5p, 0, 0
hsa-miR-335-3p, 16, 10
hsa-miR-335-5p, 21, 12
hsa-miR-337-3p, 0, 21
hsa-miR-337-5p, 0, 14
hsa-miR-338-3p, 9, 0
hsa-miR-338-5p, 0, 0
hsa-miR-339-3p, 6, 11
hsa-miR-339-5p, 6, 17
hsa-miR-33a-3p, 0, 0
hsa-miR-33a-5p, 0, 0
hsa-miR-33b-3p, 0, 0
hsa-miR-33b-5p, 8, 0
hsa-miR-340-3p, 0, 10
hsa-miR-340-5p, 20, 50
hsa-miR-342-3p, 5, 20
hsa-miR-342-5p, 0, 0
hsa-miR-345-3p, 0, 0
hsa-miR-345-5p, 10, 72
hsa-miR-346, 0, 0
hsa-miR-34a-3p, 0, 20
hsa-miR-34a-5p, 3, 99
hsa-miR-34b-3p, 0, 5
hsa-miR-34b-5p, 0, 14
hsa-miR-34c-3p, 0, 6
hsa-miR-34c-5p, 0, 306
hsa-miR-3529-5p, 0, 0
hsa-miR-3591-5p, 0, 0
hsa-miR-3605-3p, 0, 10
hsa-miR-3605-5p, 0, 2
hsa-miR-3606-3p, 0, 0
hsa-miR-3606-5p, 0, 0
hsa-miR-3607-3p, 0, 0
hsa-miR-3607-5p, 0, 0
hsa-miR-3609, 0, 0
hsa-miR-361-3p, 4, 30
hsa-miR-361-5p, 26, 83
hsa-miR-3610, 0, 0
hsa-miR-3611, 0, 0
hsa-miR-3612, 0, 0
hsa-miR-3613-3p, 0, 0
hsa-miR-3613-5p, 0, 8
hsa-miR-3614-3p, 0, 0
hsa-miR-3614-5p, 0, 0
hsa-miR-3615, 0, 29
hsa-miR-3616-3p, 0, 0
hsa-miR-3616-5p, 0, 0
hsa-miR-3617-3p, 0, 0
hsa-miR-3617-5p, 0, 0
hsa-miR-3618, 0, 0
hsa-miR-3619-3p, 0, 0
hsa-miR-3619-5p, 0, 0
hsa-miR-362-3p, 0, 0
hsa-miR-362-5p, 2, 4
hsa-miR-3620-3p, 0, 0
hsa-miR-3620-5p, 0, 0
hsa-miR-3621, 0, 0
hsa-miR-3622a-5p, 0, 0
hsa-miR-3622b-5p, 0, 0
hsa-miR-363-3p, 0, 0
hsa-miR-363-5p, 0, 0
hsa-miR-3646, 0, 0
hsa-miR-3648, 6, 0
hsa-miR-3649, 0, 0
hsa-miR-3650, 0, 0
hsa-miR-3651, 0, 0
hsa-miR-3652, 0, 0
hsa-miR-3653-3p, 5, 0
hsa-miR-3653-5p, 0, 0
hsa-miR-3654, 0, 0
hsa-miR-3655, 0, 0
hsa-miR-3656, 20, 0
hsa-miR-3657, 0, 0
hsa-miR-3658, 0, 0
hsa-miR-3659, 0, 0
hsa-miR-365a-3p, 0, 34
hsa-miR-365a-5p, 0, 0
hsa-miR-365b-3p, 2, 215
hsa-miR-365b-5p, 0, 9
hsa-miR-3660, 0, 0
hsa-miR-3661, 0, 0
hsa-miR-3662, 0, 0
hsa-miR-3663-3p, 0, 0
hsa-miR-3664-3p, 0, 0
hsa-miR-3664-5p, 0, 0
hsa-miR-3665, 0, 0
hsa-miR-3666, 0, 0
hsa-miR-3667-3p, 0, 0
hsa-miR-3667-5p, 0, 0
hsa-miR-3668, 0, 0
hsa-miR-3669, 0, 0
hsa-miR-367-3p, 0, 0
hsa-miR-367-5p, 0, 0
hsa-miR-3670, 0, 0
hsa-miR-3671, 0, 0
hsa-miR-3672, 0, 0
hsa-miR-3673, 0, 0
hsa-miR-3674, 0, 0
hsa-miR-3675-3p, 0, 0
hsa-miR-3675-5p, 0, 0
hsa-miR-3677-3p, 0, 0
hsa-miR-3677-5p, 0, 0
hsa-miR-3678-3p, 0, 0
hsa-miR-3678-5p, 0, 0
hsa-miR-3679-3p, 0, 0
hsa-miR-3679-5p, 0, 0
hsa-miR-3680-3p, 0, 0
hsa-miR-3680-5p, 0, 0
hsa-miR-3681-3p, 0, 0
hsa-miR-3681-5p, 0, 0
hsa-miR-3682-3p, 0, 0
hsa-miR-3682-5p, 0, 0
hsa-miR-3683, 0, 0
hsa-miR-3684, 0, 0
hsa-miR-3685, 0, 0
hsa-miR-3686, 0, 0
hsa-miR-3687, 5, 0
hsa-miR-3688-3p, 0, 0
hsa-miR-3688-5p, 0, 0
hsa-miR-3689a-3p, 0, 0
hsa-miR-3689a-5p, 0, 0
hsa-miR-3689b-3p, 0, 0
hsa-miR-3689b-5p, 0, 0
hsa-miR-3689c, 0, 0
