miRNA, /usr/local/miRge/miRge.samples/human_s1.fastq, /usr/local/miRge/miRge.samples/human_s2.fastq
hsa-miR-223-3p, 0, 0
hsa-miR-223-5p, 0, 0
hsa-miR-224-3p, 0, 14.8478981315405
hsa-miR-224-5p, 28.1547384424799, 341.501657025431
hsa-miR-2276-3p, 0, 0
hsa-miR-2276-5p, 0, 0
hsa-miR-2277-3p, 0, 0
hsa-miR-2277-5p, 0, 14.8478981315405
hsa-miR-2278, 0, 0
hsa-miR-2355-3p, 0, 0
hsa-miR-2355-5p, 0, 32.6653758893891
hsa-miR-2392, 0, 0
hsa-miR-23a-3p, 260.431330592939, 1728.29534251131
hsa-miR-23a-5p, 0, 97.9961276681673
hsa-miR-23b-3p, 450.475815079678, 1618.42089633791
hsa-miR-23b-5p, 0, 0
hsa-miR-23c, 0, 0
hsa-miR-24-1-5p, 0, 0
hsa-miR-24-2-5p, 21.1160538318599, 109.8744461734
hsa-miR-24-3p, 140.773692212399, 715.668689940252
hsa-miR-2467-3p, 0, 0
hsa-miR-2467-5p, 0, 0
hsa-miR-25-3p, 1752.63246804437, 2337.05916590447
hsa-miR-25-5p, 0, 44.5436943946215
hsa-miR-2681-3p, 0, 0
hsa-miR-2681-5p, 0, 0
hsa-miR-2682-3p, 0, 0
hsa-miR-2682-5p, 0, 26.7262166367729
hsa-miR-26a-1-3p, 0, 5.9391592526162
hsa-miR-26a-2-3p, 0, 14.8478981315405
hsa-miR-26a-5p, 32244.2142012501, 30776.7232470571
hsa-miR-26b-3p, 0, 29.695796263081
hsa-miR-26b-5p, 2583.19725209753, 3046.78869659211
hsa-miR-27a-3p/27b-3p, 13225.6883833549, 62055.3054509604
hsa-miR-27a-5p, 28.1547384424799, 118.783185052324
hsa-miR-27b-5p, 14.0773692212399, 207.870573841567
hsa-miR-28-3p, 7644.01148713328, 6188.60394122608
hsa-miR-28-5p, 661.636353398277, 573.128867877463
hsa-miR-2861, 0, 0
hsa-miR-2909, 0, 0
hsa-miR-296-3p, 0, 23.7566370104648
hsa-miR-296-5p, 0, 0
hsa-miR-297, 0, 0
hsa-miR-298, 0, 0
hsa-miR-299-3p, 0, 71.2699110313944
hsa-miR-299-5p, 0, 0
hsa-miR-29a-3p, 816.487414831916, 5499.6614679226
hsa-miR-29a-5p, 0, 35.6349555156972
hsa-miR-29b-1-5p, 0, 47.5132740209296
hsa-miR-29b-2-5p, 0, 0
hsa-miR-29b-3p, 0, 163.326879446945
hsa-miR-29c-3p, 133.735007601779, 80.1786499103187
hsa-miR-29c-5p, 0, 0
hsa-miR-300, 0, 0
hsa-miR-301a-3p, 98.5415845486795, 178.174777578486
hsa-miR-301a-5p, 0, 0
hsa-miR-301b-3p, 0, 53.4524332735458
hsa-miR-301b-5p, 0, 0
hsa-miR-302a-3p, 0, 0
hsa-miR-302a-5p, 0, 0
hsa-miR-302b-3p, 0, 0
hsa-miR-302b-5p, 0, 0
hsa-miR-302c-3p, 0, 0
hsa-miR-302c-5p, 0, 0
hsa-miR-302d-3p, 0, 0
hsa-miR-302d-5p, 0, 0
hsa-miR-302e, 0, 0
hsa-miR-302f, 0, 0
hsa-miR-3064-3p, 0, 0
hsa-miR-3064-5p, 0, 0
hsa-miR-30a-3p, 0, 647.368358535166
hsa-miR-30a-5p, 56.3094768849597, 14313.373798805
hsa-miR-30b-3p, 0, 0
hsa-miR-30b-5p/30c-5p, 2146.79880623909, 1413.51990212266
hsa-miR-30c-1-3p, 28.1547384424799, 26.7262166367729
hsa-miR-30c-2-3p, 0, 35.6349555156972
hsa-miR-30d-3p, 21.1160538318599, 38.6045351420053
hsa-miR-30d-5p, 6144.77166507123, 4469.21733759369
hsa-miR-30e-3p, 394.166338194718, 374.167032914821
hsa-miR-30e-5p, 4898.9244889915, 3230.90263342321
hsa-miR-31-3p, 0, 29.695796263081
hsa-miR-31-5p, 0, 3123.99776687612
hsa-miR-3115, 0, 0
hsa-miR-3116, 0, 0
hsa-miR-3117-3p, 0, 44.5436943946215
hsa-miR-3117-5p, 0, 0
hsa-miR-3118, 0, 0
hsa-miR-3119, 0, 0
hsa-miR-3120-3p, 0, 0
hsa-miR-3121-3p, 0, 0
hsa-miR-3121-5p, 0, 0
hsa-miR-3122, 0, 0
hsa-miR-3123, 0, 0
hsa-miR-3124-3p, 0, 0
hsa-miR-3125, 0, 0
hsa-miR-3126-3p, 0, 0
hsa-miR-3126-5p, 0, 0
hsa-miR-3127-3p, 0, 0
hsa-miR-3127-5p, 0, 0
hsa-miR-3128, 0, 0
hsa-miR-3129-3p, 0, 0
hsa-miR-3129-5p, 0, 0
hsa-miR-3130-5p, 0, 0
hsa-miR-3131, 0, 0
hsa-miR-3132, 0, 0
hsa-miR-3133, 0, 0
hsa-miR-3134, 0, 0
hsa-miR-3135a, 0, 0
hsa-miR-3135b, 0, 0
hsa-miR-3136-3p, 0, 0
hsa-miR-3136-5p, 0, 0
hsa-miR-3137, 0, 0
hsa-miR-3138, 0, 0
hsa-miR-3139, 0, 0
hsa-miR-3140-3p, 0, 0
hsa-miR-3140-5p, 0, 0
hsa-miR-3141, 0, 0
hsa-miR-3142, 0, 0
hsa-miR-3143, 0, 0
hsa-miR-3144-3p, 0, 0
hsa-miR-3144-5p, 0, 0
hsa-miR-3145-3p, 0, 0
hsa-miR-3145-5p, 0, 0
hsa-miR-3146, 0, 0
hsa-miR-3147, 0, 0
hsa-miR-3148, 0, 0
hsa-miR-3149, 0, 0
hsa-miR-3150a-3p, 0, 0
hsa-miR-3150b-3p, 0, 0
hsa-miR-3150b-5p, 0, 0
hsa-miR-3151-3p, 0, 0
hsa-miR-3151-5p, 0, 0
hsa-miR-3152-3p, 0, 0
hsa-miR-3152-5p, 0, 41.5741147683134
hsa-miR-3153, 0, 0
hsa-miR-3154, 0, 0
hsa-miR-3155a, 0, 0
hsa-miR-3155b, 0, 0
hsa-miR-3156-3p, 0, 0
hsa-miR-3156-5p, 0, 0
hsa-miR-3157-3p, 0, 0
hsa-miR-3157-5p, 0, 0
hsa-miR-3158-3p, 0, 11.8783185052324
hsa-miR-3159, 0, 0
hsa-miR-3160-3p, 0, 0
hsa-miR-3160-5p, 0, 0
hsa-miR-3161, 0, 0
hsa-miR-3162-3p, 0, 0
hsa-miR-3162-5p, 0, 0
hsa-miR-3163, 0, 0
hsa-miR-3164, 0, 0
hsa-miR-3165, 0, 0
hsa-miR-3166, 0, 0
hsa-miR-3167, 0, 0
hsa-miR-3168, 0, 0
hsa-miR-3169, 0, 0
hsa-miR-3170, 0, 0
hsa-miR-3171, 0, 0
hsa-miR-3173-3p, 0, 0
hsa-miR-3173-5p, 0, 0
hsa-miR-3174, 0, 0
hsa-miR-3175, 0, 0
hsa-miR-3176, 0, 17.8174777578486
hsa-miR-3177-3p, 0, 0
hsa-miR-3177-5p, 0, 0
hsa-miR-3178, 0, 0
hsa-miR-3179, 0, 0
hsa-miR-3180, 0, 0
hsa-miR-3180-3p, 0, 0
hsa-miR-3180-5p, 0, 0
hsa-miR-3181, 0, 0
hsa-miR-3182, 0, 0
hsa-miR-3183, 0, 0
hsa-miR-3185, 0, 0
hsa-miR-3186-3p, 0, 0
hsa-miR-3186-5p, 0, 0
hsa-miR-3187-3p, 0, 0
hsa-miR-3187-5p, 0, 0
hsa-miR-3188, 0, 0
hsa-miR-3189-3p, 0, 0
hsa-miR-3189-5p, 0, 0
hsa-miR-3190-3p, 0, 0
hsa-miR-3190-5p, 0, 0
hsa-miR-3191-3p, 0, 0
hsa-miR-3191-5p, 0, 0
hsa-miR-3192-3p, 0, 0
hsa-miR-3192-5p, 0, 0
hsa-miR-3193, 0, 0
hsa-miR-3194-3p, 0, 0
hsa-miR-3194-5p, 0, 0
hsa-miR-3195, 0, 0
hsa-miR-3196, 133.735007601779, 0
hsa-miR-3197, 0, 0
hsa-miR-3198, 0, 0
hsa-miR-3199, 0, 0
hsa-miR-32-3p, 0, 0
hsa-miR-32-5p, 14.0773692212399, 23.7566370104648
hsa-miR-3200-3p, 0, 0
hsa-miR-3200-5p, 0, 0
hsa-miR-3201, 0, 0
hsa-miR-3202, 0, 0
hsa-miR-320a/b/c/d, 879.835576327496, 1386.79368548588
hsa-miR-320e, 0, 0
hsa-miR-323a-3p, 0, 44.5436943946215
hsa-miR-323a-5p, 0, 5.9391592526162
hsa-miR-323b-3p, 0, 0
hsa-miR-323b-5p, 0, 0
hsa-miR-324-3p, 0, 14.8478981315405
hsa-miR-324-5p, 14.0773692212399, 20.7870573841567
hsa-miR-325, 0, 0
hsa-miR-326, 0, 0
hsa-miR-328-3p, 0, 89.087388789243
hsa-miR-328-5p, 0, 0
hsa-miR-329-3p, 0, 17.8174777578486
hsa-miR-329-5p, 0, 17.8174777578486
hsa-miR-330-3p, 0, 20.7870573841567
hsa-miR-330-5p, 21.1160538318599, 44.5436943946215
hsa-miR-331-3p, 0, 26.7262166367729
hsa-miR-331-5p, 0, 0
hsa-miR-335-3p, 112.618953769919, 29.695796263081
hsa-miR-335-5p, 147.812376823019, 35.6349555156972
hsa-miR-337-3p, 0, 62.3611721524701
hsa-miR-337-5p, 0, 41.5741147683134
hsa-miR-338-3p, 63.3481614955797, 0
hsa-miR-338-5p, 0, 0
hsa-miR-339-3p, 42.2321076637198, 32.6653758893891
hsa-miR-339-5p, 42.2321076637198, 50.4828536472377
hsa-miR-33a-3p, 0, 0
hsa-miR-33a-5p, 0, 0
hsa-miR-33b-3p, 0, 0
hsa-miR-33b-5p, 56.3094768849597, 0
hsa-miR-340-3p, 0, 29.695796263081
hsa-miR-340-5p, 140.773692212399, 148.478981315405
hsa-miR-342-3p, 35.1934230530998, 59.391592526162
hsa-miR-342-5p, 0, 0
hsa-miR-345-3p, 0, 0
hsa-miR-345-5p, 70.3868461061997, 213.809733094183
hsa-miR-346, 0, 0
